16,4,1,18521578,1
16,4,1,18521579,1
16,4,1,18521580,0
16,4,1,18521581,1
16,4,1,18521582,1
16,4,1,18521583,1
16,4,1,18521584,1
16,4,1,18521585,1
16,4,1,18521586,1
16,4,1,18521587,1
16,4,2,18521578,1
16,4,2,18521579,1
16,4,2,18521580,1
16,4,2,18521581,1
16,4,2,18521582,1
16,4,2,18521583,1
16,4,2,18521584,1
16,4,2,18521585,1
16,4,2,18521586,0
16,4,2,18521587,1
16,8,1,18521578,0
16,8,1,18521579,0
16,8,1,18521580,0
16,8,1,18521581,0
16,8,1,18521582,0
16,8,1,18521583,0
16,8,1,18521584,0
16,8,1,18521585,0
16,8,1,18521586,0
16,8,1,18521587,0
16,8,2,18521578,1
16,8,2,18521579,1
16,8,2,18521580,1
16,8,2,18521581,1
16,8,2,18521582,1
16,8,2,18521583,1
16,8,2,18521584,1
16,8,2,18521585,1
16,8,2,18521586,1
16,8,2,18521587,1
16,16,1,18521578,0
16,16,1,18521579,0
16,16,1,18521580,0
16,16,1,18521581,0
16,16,1,18521582,0
16,16,1,18521583,0
16,16,1,18521584,0
16,16,1,18521585,0
16,16,1,18521586,0
16,16,1,18521587,0
16,16,2,18521578,0
16,16,2,18521579,0
16,16,2,18521580,0
16,16,2,18521581,1
16,16,2,18521582,0
16,16,2,18521583,0
16,16,2,18521584,1
16,16,2,18521585,1
16,16,2,18521586,1
16,16,2,18521587,1
16,32,1,18521578,0
16,32,1,18521579,0
16,32,1,18521580,0
16,32,1,18521581,0
16,32,1,18521582,0
16,32,1,18521583,0
16,32,1,18521584,0
16,32,1,18521585,0
16,32,1,18521586,0
16,32,1,18521587,0
16,32,2,18521578,0
16,32,2,18521579,0
16,32,2,18521580,0
16,32,2,18521581,1
16,32,2,18521582,0
16,32,2,18521583,0
16,32,2,18521584,0
16,32,2,18521585,0
16,32,2,18521586,0
16,32,2,18521587,0
16,64,1,18521578,0
16,64,1,18521579,0
16,64,1,18521580,0
16,64,1,18521581,0
16,64,1,18521582,0
16,64,1,18521583,0
16,64,1,18521584,0
16,64,1,18521585,0
16,64,1,18521586,0
